name,rating,comments,author/translator,pub
阿米Ⅱ-宇宙之心,9.1,291,（委内瑞拉）恩里克·巴里奥斯   赵德明,天津教育出版社   2008-09   20.00元
WheretheWildThingsAre,8.9,485,Maurice Sendak,HarperCollins   1988-11   USD 8.99
竹久梦二的童画童话,8.1,225,(日) 竹久梦二   季慧,金城出版社   2011-2   48.00元
鬼妈妈,8.2,603,（英）尼尔·盖曼   杨玲玲,少年儿童出版社   2005-7   10.0
阿狸·永远站,8.9,9794,Hans,北方妇女儿童出版社   2010-12   35.80元
月亮看见了,8.4,685,(丹麦)安徒生、王怡(图)   宋城双,北方妇儿   2010-10   32.80元
我的妖怪培养计划,9.1,160,胡晓江、黄玉洁,哈尔滨出版社   2003-5-1   19.80
小布头奇遇记:小布头丛书,9.4,671,孙幼军,春风文艺出版社   2005-5   13.60元
胡萝卜须,7.9,529,[法]儒勒·列纳尔   王振孙,人民文学出版社   2005-10   12.00元
瞬间收藏家,8.4,1132,（德）布赫兹   张莉莉,上海人民出版社   2004-07   12.00元
米切尔.恩德作品集,9.2,74,米切尔・恩德   何珊,二十一世纪出版社   2000-8-1   16.00
詹姆斯与大仙桃,8.8,398,罗尔德·达尔   紫岫,明天出版社   2004-4-1   11.50
挖開兔子洞:深入解讀愛麗絲漫遊奇境,9.0,50,路易斯·卡洛爾(Lewis Carroll)  原著、約翰·田尼爾(John Tenniel) 插圖、張華 譯注,遠流   2010年3月   NTD300元
大海在哪里,8.8,266,(瑞士)于尔克·舒比格 著、(德)罗特劳特·苏珊娜·贝尔纳 图   李真子,贵州人民出版社   2007-5   21.80元
普希金童话诗,9.0,220,普希金   梦海、冯春,上海译文出版社   1979   0.95
怪老头儿,9.0,948,孙幼军,春风文艺出版社   1998-10   13.60元
蓝鲸的眼睛,9.2,57,冰波,中国福利会出版社   2001-10   15.00元
魔法树顶的国度:魔法树的故事,9.3,34,[英]伊妮德·布莱顿   赵文伟,吉林美术出版社   2013-5-1   18.00
青鸟,8.3,284,(比利时)梅特林克   郑克鲁,上海译文出版社   2011-10   24.00元
曼哈顿的小红帽,8.1,38,卡门·马丁·盖特   张煦、朱景冬 校订,漓江出版社   2015-1   28.00元
被遗忘的公主,8.7,25,[法] 菲利普·勒榭米耶 文、[法] 海贝卡·朵特梅 图,山东文艺出版社   2015-6   78.00元
爸爸、妈妈、我和她,8.7,263,(瑞士)于尔克·舒比格 著、(德)罗特劳特·苏珊娜·贝尔纳 图   李真子,贵州人民出版社   2007-5   21.80元
松鼠先生和第一场雪:松鼠先生系列绘本合辑,9.2,308,(德)塞巴斯蒂安·麦什莫泽  文 图   刘海颖,湖北少年儿童出版社   2009-7   26.00元
TheHappyPrinceandOtherStories,9.4,255,Oscar Wilde,Penguin Books Ltd   2007-01-25   USD 3.98
永远永远爱你,9.1,1995,宫西达也   蒲蒲兰,二十一世纪出版社   2008年5月   24.80 RMB
月亮，晚安,8.8,237,文 马格丽特·怀兹·布朗、图,克雷门·赫德   黃迺毓   上誼文化公司
恰佩克童话集,8.8,34,（捷克）恰佩克   任溶溶,上海译文出版社   2002-04   10.00
我要是别人就好了:让孩子发现自己的优点，与自卑、嫉妒、孤僻告别。,8.1,21,（德）维尔纳·霍尔茨瓦特   轩若,九州出版社   2016-7-1   39.80
古堡里的月亮公主,8.3,817,[英] 伊丽莎白·古吉   马爱农,人民文学出版社   2003-4   19.2
罐头里的孩子,8.8,133,[奥地利]克·涅斯林格   施种,少年儿童出版社   1997年11月第一版   9.90
水孩子,8.4,1071,[英] 查尔斯·金斯利   张炽恒,上海译文出版社   2002-4   12.50元
住在屋顶上的小飞人,9.2,61,[瑞典] 阿·林格伦   任溶溶,湖南人民出版社   1980-5   0.44元
猫的旅店,7.6,27,,马嘉恺   接力出版社   29.8元
安徒生剪影,8.6,772,林桦 编著,生活·读书·新知三联书店   2005-3   38.80元
小猪唏哩呼噜,8.8,112,孙幼军,春风文艺出版社   2002-10   13.60
绒布小兔子:绒布小兔子,9.2,30,(美)玛格丽·威廉斯 著、(美)根纳季·施普瑞 绘   陈玉娇,新疆青少年出版社   2012-6   36.00元
野兽国,7.3,159,[美]戴夫·艾格斯   虞钧栋,人民文学出版社   2010-6-1   24.00元
阿米III-爱的文明:爱的文明,8.9,231,恩里克·巴里奥斯   赵德明,天津教育出版社   2008-12   22.00元
英汉对照安徒生童话全集（全三册）,9.5,204,安徒生   叶君健（中） W.A.&J.K.格拉吉（英）,清华大学出版社   1999-11   128.0
第五个:新经典文库,8.5,818,[奥]恩斯特·杨德尔(Ernst Jandl) 文、[德]诺尔曼·荣格(Nornann Junge) 图   三禾,南海出版公司   2007-3   20.00元
外公是棵樱桃树:国际大奖小说,8.7,175,(意)安琪拉·那涅第   徐洁,新蕾出版社   2008-1-1   13.80元
妖精的小孩,7.6,26,(美)埃洛伊塞·麦格劳   枣泥,晨光出版社   2014-7   22.00元
LostandFound,9.5,244,Oliver Jeffers,HarperCollins Children's Books   2006-05-02   GBP 5.99
风到哪里去了,8.6,554,文 夏洛特·左罗托夫、图 斯蒂芬诺·维塔   陈丹燕,少年儿童出版社   2006年6月   29.80元
淘气包埃米尔,9.3,359,[瑞典] 阿斯特丽德·林格伦   李之义,中国少年儿童出版社   2002-5   22.50元
安徒生童话.绘本原画展,9.3,90,,青林   20020120   151.62元
不老泉,8.1,172,（美）纳塔利・巴比特   肖慧,上海译文出版社   2005-07   15.00
《异世界童话之旅2：女巫归来》,8.3,20,[美]克里斯·柯尔弗   钱峰,江苏凤凰文艺出版社  江苏凤凰少儿出版社   2015-11   49.80元（全三册）
皮皮鲁和幻影号,8.9,488,郑渊洁,二十一世纪出版社   2006-7   14.80元
银线星星:台湾趣味童话选,9.8,37,桂文亚 主编,"台湾民生报,作家出版社联合出版   1993.5   12.00"
倒长的树:另含两个医生和死尸场,9.1,125,(印)克里山·钱达尔、[印]苏德尔辛、[印]拉姆德尔希·密希尔   蔡国辉,广东人民出版社   1982-02-01   0.31 元
莫里斯桑達克的格林童話,8.0,14,作者：格林兄弟 Brothers Grimm、繪者：莫里斯桑達克 Maurice Sendak   張莉莉,格林文化   2012-6-8   台币290元
好好照顾我的花:郝广才作品精选集,8.4,590,郝广才,知识出版社   2003-9   16.00元
泪奔吧，无用超能力,8.2,407,王小能,上海人民美术出版社   2012-4   16.00元
彼得潘,8.6,664,,2006-10   88.00元
看不见的小妞,9.2,112,（芬）扬松   任溶溶,明天出版社   2004-4-1   12.00
万花筒:国际安徒生获奖作家书系,9.0,60,依列娜·法吉恩   徐朴,河北少年儿童出版社   2001年05月   12.3元
爱丽丝镜中世界奇遇记,7.4,348,卡罗尔   黄建敏,外语教学与研究出版社   1998-01   5.90元
永远讲不完的童话,9.2,89,(德)米切尔·恩德   何珊,二十一世纪出版社   2010年1月   18.00元
世界儿童文学名著故事大全,9.7,75,陈伯吹 主编,少年儿童出版社   1989   15.00
动物远征队,9.2,33,(英)考林·达恩   李名玉,江苏人民出版社   1982-3   0.68元
去年的树,9.4,106,(日)新美南吉   周龙梅、彭懿,贵州人民出版社   2008-06-01   10.00元
